image_id,label,class_name,condition,width,height,filename,relative_path,split
15,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_02-27-47.jpg,train
16,0,pedestrian crossing,opened,479,489,photo_10_2024-12-18_02-29-08.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_02-29-08.jpg,train
17,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_02-37-13.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_02-37-13.jpg,train
18,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_12-58-24.jpg,train
19,0,pedestrian crossing,opened,960,1045,photo_10_2024-12-18_13-02-03.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_13-02-03.jpg,test
20,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_13-03-52.jpg,test
21,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_13-05-23.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_13-05-23.jpg,train
22,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-18_13-06-32.jpg,validation
23,0,pedestrian crossing,opened,960,1280,photo_10_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_10_2024-12-19_00-11-08.jpg,test
24,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-09_12-46-32.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-09_12-46-32.jpg,train
25,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-18_02-37-13.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_02-37-13.jpg,test
26,0,pedestrian crossing,opened,790,663,photo_11_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_12-58-24.jpg,train
27,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-18_13-02-03.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_13-02-03.jpg,train
28,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-18_13-05-23.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_13-05-23.jpg,train
29,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_13-06-32.jpg,train
30,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-18_13-07-03.jpg,validation
31,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-19_00-11-08.jpg,validation
32,0,pedestrian crossing,opened,960,1280,photo_11_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_11_2024-12-19_02-04-54.jpg,train
33,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-09_12-46-32.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-09_12-46-32.jpg,train
34,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-09_12-50-33.jpg,train
35,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_02-27-47.jpg,test
36,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_02-33-06.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_02-33-06.jpg,train
37,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_12-58-24.jpg,train
38,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-00-25.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-00-25.jpg,train
39,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-02-03.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-02-03.jpg,train
40,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-03-52.jpg,train
41,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-05-23.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-05-23.jpg,test
42,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-05-57.jpg,train
43,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-06-32.jpg,train
44,0,pedestrian crossing,opened,661,834,photo_12_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-18_13-07-03.jpg,train
45,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-19_00-10-31.jpg,train
46,0,pedestrian crossing,opened,960,1280,photo_12_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_12_2024-12-19_02-04-54.jpg,train
47,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-09_12-49-48.jpg,train
48,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-09_12-50-33.jpg,test
49,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-18_02-25-50.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_02-25-50.jpg,validation
50,0,pedestrian crossing,opened,682,722,photo_13_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_12-58-24.jpg,train
51,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-18_13-00-25.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_13-00-25.jpg,train
52,0,pedestrian crossing,opened,893,928,photo_13_2024-12-18_13-02-03.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_13-02-03.jpg,train
53,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_13-05-57.jpg,train
54,0,pedestrian crossing,opened,960,931,photo_13_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_13-06-32.jpg,train
55,0,pedestrian crossing,opened,830,1020,photo_13_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-18_13-07-03.jpg,train
56,0,pedestrian crossing,opened,960,1280,photo_13_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_13_2024-12-19_00-11-08.jpg,train
57,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-09_12-46-01.jpg,validation
58,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-09_12-49-48.jpg,train
59,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-18_02-28-33.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_02-28-33.jpg,test
60,0,pedestrian crossing,opened,686,668,photo_14_2024-12-18_02-37-13.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_02-37-13.jpg,train
61,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_12-58-24.jpg,train
62,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-18_13-00-25.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_13-00-25.jpg,train
63,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_13-03-52.jpg,validation
64,0,pedestrian crossing,opened,960,966,photo_14_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_13-06-32.jpg,validation
65,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-18_13-07-03.jpg,validation
66,0,pedestrian crossing,opened,960,1280,photo_14_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_14_2024-12-19_02-04-54.jpg,train
67,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-09_12-49-48.jpg,train
68,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-09_12-50-33.jpg,test
69,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_02-27-47.jpg,validation
70,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-18_02-28-33.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_02-28-33.jpg,train
71,0,pedestrian crossing,opened,741,747,photo_15_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_12-58-24.jpg,train
72,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-18_13-00-25.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_13-00-25.jpg,train
73,0,pedestrian crossing,opened,960,1153,photo_15_2024-12-18_13-02-03.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_13-02-03.jpg,validation
74,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_13-03-52.jpg,train
75,0,pedestrian crossing,opened,834,747,photo_15_2024-12-18_13-05-23.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_13-05-23.jpg,validation
76,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-18_13-06-32.jpg,train
77,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-19_00-10-31.jpg,test
78,0,pedestrian crossing,opened,960,1280,photo_15_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_15_2024-12-19_00-11-08.jpg,train
79,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-09_12-49-48.jpg,train
80,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_02-27-47.jpg,train
81,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-18_02-33-06.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_02-33-06.jpg,validation
82,0,pedestrian crossing,opened,747,704,photo_16_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_12-58-24.jpg,validation
83,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_13-03-52.jpg,train
84,0,pedestrian crossing,opened,736,720,photo_16_2024-12-18_13-05-23.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_13-05-23.jpg,test
85,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_13-05-57.jpg,train
86,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-18_13-06-32.jpg,train
87,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-19_00-10-31.jpg,test
88,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-19_00-11-08.jpg,train
89,0,pedestrian crossing,opened,960,1280,photo_16_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_16_2024-12-19_02-04-54.jpg,train
90,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-09_12-46-01.jpg,train
91,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-09_12-46-32.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-09_12-46-32.jpg,test
92,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-09_12-50-33.jpg,train
93,0,pedestrian crossing,opened,1058,1280,photo_17_2024-12-18_02-27-08.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_02-27-08.jpg,train
94,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_02-27-47.jpg,train
95,0,pedestrian crossing,opened,787,773,photo_17_2024-12-18_02-29-08.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_02-29-08.jpg,train
96,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-18_02-36-53.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_02-36-53.jpg,train
97,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_12-58-24.jpg,train
98,0,pedestrian crossing,opened,733,885,photo_17_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_13-03-52.jpg,train
99,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-18_13-04-36.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_13-04-36.jpg,test
100,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-18_13-07-03.jpg,train
101,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-19_00-10-31.jpg,train
102,0,pedestrian crossing,opened,960,1280,photo_17_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_17_2024-12-19_00-11-08.jpg,validation
103,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-09_12-49-48.jpg,train
104,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-09_12-50-33.jpg,test
105,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_02-27-47.jpg,train
106,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_02-28-33.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_02-28-33.jpg,train
107,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_12-58-24.jpg,validation
108,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_13-03-52.jpg,train
109,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_13-04-36.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_13-04-36.jpg,validation
110,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_13-06-32.jpg,train
111,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-18_13-07-03.jpg,test
112,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-19_00-10-31.jpg,train
113,0,pedestrian crossing,opened,960,1280,photo_18_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_18_2024-12-19_00-11-08.jpg,test
114,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-09_12-46-01.jpg,test
115,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-09_12-46-32.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-09_12-46-32.jpg,train
116,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-09_12-49-48.jpg,validation
117,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_02-27-47.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_02-27-47.jpg,validation
118,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_02-33-06.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_02-33-06.jpg,test
119,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_02-36-53.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_02-36-53.jpg,train
120,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_13-03-52.jpg,train
121,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_13-04-36.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_13-04-36.jpg,train
122,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_13-05-57.jpg,validation
123,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-18_13-06-32.jpg,train
124,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-19_00-10-31.jpg,validation
125,0,pedestrian crossing,opened,960,1280,photo_19_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_19_2024-12-19_00-11-08.jpg,test
126,0,pedestrian crossing,opened,445,421,photo_1_2024-12-09_12-49-47_1.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-09_12-49-47_1.jpg,test
127,0,pedestrian crossing,opened,827,783,photo_1_2024-12-18_02-27-08.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_02-27-08.jpg,test
128,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_02-28-33.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_02-28-33.jpg,validation
129,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_02-37-13.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_02-37-13.jpg,train
130,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-00-25.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-00-25.jpg,train
131,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-01-24.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-01-24.jpg,train
132,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-03-52.jpg,train
133,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-05-22.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-05-22.jpg,train
134,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-05-57.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-05-57.jpg,train
135,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-06-32.jpg,train
136,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-18_13-07-03.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-18_13-07-03.jpg,train
137,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-19_00-10-31.jpg,train
138,0,pedestrian crossing,opened,960,1280,photo_1_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_1_2024-12-19_00-11-08.jpg,train
139,0,pedestrian crossing,opened,708,705,photo_20_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-09_12-49-48.jpg,validation
140,0,pedestrian crossing,opened,822,796,photo_20_2024-12-18_02-25-50.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_02-25-50.jpg,validation
141,0,pedestrian crossing,opened,787,774,photo_20_2024-12-18_02-28-33.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_02-28-33.jpg,validation
142,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_02-36-53.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_02-36-53.jpg,train
143,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_02-37-13.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_02-37-13.jpg,train
144,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_12-58-24.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_12-58-24.jpg,train
145,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_13-03-52.jpg,train
146,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_13-04-36.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_13-04-36.jpg,train
147,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-18_13-06-32.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-18_13-06-32.jpg,validation
148,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-19_00-11-08.jpg,validation
149,0,pedestrian crossing,opened,960,1280,photo_20_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_20_2024-12-19_02-04-54.jpg,train
150,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-09_12-46-01.jpg,train
151,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-09_12-46-32.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-09_12-46-32.jpg,train
152,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-09_12-49-48.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-09_12-49-48.jpg,train
153,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-09_12-50-33.jpg,train
154,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-18_02-36-53.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-18_02-36-53.jpg,train
155,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-18_13-03-52.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-18_13-03-52.jpg,validation
156,0,pedestrian crossing,opened,720,873,photo_21_2024-12-18_13-04-36.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-18_13-04-36.jpg,test
157,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-19_00-10-31.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-19_00-10-31.jpg,train
158,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-19_00-11-08.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-19_00-11-08.jpg,train
159,0,pedestrian crossing,opened,960,1280,photo_21_2024-12-19_02-04-54.jpg,dataset_top12\pedestrian crossing\opened\photo_21_2024-12-19_02-04-54.jpg,train
160,0,pedestrian crossing,opened,960,1280,photo_22_2024-12-09_12-46-01.jpg,dataset_top12\pedestrian crossing\opened\photo_22_2024-12-09_12-46-01.jpg,train
161,0,pedestrian crossing,opened,960,1280,photo_22_2024-12-09_12-50-33.jpg,dataset_top12\pedestrian crossing\opened\photo_22_2024-12-09_12-50-33.jpg,train
162,0,pedestrian crossing,opened,960,1280,photo_22_2024-12-18_02-33-06.jpg,dataset_top12\pedestrian crossing\opened\photo_22_2024-12-18_02-33-06.jpg,train
